1983; 0 
1984; 20 
1985; 20 
1986; 20 
1987; 30 
1988; 35 
1989; 45 
1990; 55 
1991; 70 
1992; 85 
1993; 120 
1994; 160 
1995; 200 
1996; 240 
1997; 280 
1998; 330 
1999; 390 
2000; 450 
2001; 520 
2002; 610 
2003; 700 
2004; 800 
2005; 900 
2006; 950 
2007; 1000 
2008; 1100 
2009; 1150 
2010; 1150 
2011; 1050 
2012; 1150 
2013; 1150 
2014; 990 
2015; 1250 








































































